signal,signal_label,spec,entry_z,horizon_bars,mean_bps,mean_session_bps,t_clustered,hit_rate,n_events
0,z0_rolling390,S1,1.5,5,0.066,-0.612,-5.56,0.501,13035.0
0,z0_rolling390,S1,1.5,15,-0.024,-1.27,-6.82,0.502,12710.0
0,z0_rolling390,S1,1.5,30,-0.205,-1.883,-6.96,0.494,12387.0
0,z0_rolling390,S1,1.5,60,-0.1,-1.926,-5.25,0.503,11753.0
0,z0_rolling390,S1,1.5,120,-0.292,-1.7,-3.43,0.504,10541.0
0,z0_rolling390,S1,2.0,5,0.107,-0.481,-3.46,0.517,8891.0
0,z0_rolling390,S1,2.0,15,0.065,-0.96,-3.95,0.509,8761.0
0,z0_rolling390,S1,2.0,30,0.036,-1.174,-3.49,0.508,8597.0
0,z0_rolling390,S1,2.0,60,0.194,-0.069,-0.15,0.514,8355.0
0,z0_rolling390,S1,2.0,120,0.202,0.704,1.29,0.51,7906.0
0,z0_rolling390,S1,2.5,5,0.032,-0.413,-2.27,0.498,5696.0
0,z0_rolling390,S1,2.5,15,-0.19,-0.611,-1.94,0.506,5645.0
0,z0_rolling390,S1,2.5,30,-0.346,-0.625,-1.47,0.499,5602.0
0,z0_rolling390,S1,2.5,60,-0.325,0.639,1.17,0.496,5490.0
0,z0_rolling390,S1,2.5,120,-0.829,0.786,1.24,0.496,5358.0
0,z0_rolling390,S1,3.0,5,0.004,0.002,0.01,0.506,3632.0
0,z0_rolling390,S1,3.0,15,-0.539,-0.209,-0.56,0.485,3619.0
0,z0_rolling390,S1,3.0,30,-0.515,0.745,1.51,0.493,3612.0
0,z0_rolling390,S1,3.0,60,-0.421,1.781,2.84,0.498,3577.0
0,z0_rolling390,S1,3.0,120,-1.155,1.26,1.67,0.499,3520.0
0,z0_rolling390,S2,1.5,5,-0.071,-0.408,-5.25,0.499,13518.0
0,z0_rolling390,S2,1.5,15,-0.138,-0.756,-5.3,0.495,13029.0
0,z0_rolling390,S2,1.5,30,-0.112,-1.13,-5.21,0.502,12524.0
0,z0_rolling390,S2,1.5,60,-0.009,-1.163,-4.08,0.504,11692.0
0,z0_rolling390,S2,1.5,120,-0.089,-0.841,-2.22,0.51,10140.0
0,z0_rolling390,S2,2.0,5,-0.026,-0.422,-4.09,0.502,9298.0
0,z0_rolling390,S2,2.0,15,0.04,-0.649,-3.56,0.502,9014.0
0,z0_rolling390,S2,2.0,30,0.09,-0.843,-3.11,0.507,8781.0
0,z0_rolling390,S2,2.0,60,0.187,-0.539,-1.49,0.512,8376.0
0,z0_rolling390,S2,2.0,120,0.419,0.23,0.5,0.525,7569.0
0,z0_rolling390,S2,2.5,5,0.03,-0.147,-1.04,0.504,5604.0
0,z0_rolling390,S2,2.5,15,-0.124,-0.02,-0.08,0.498,5472.0
0,z0_rolling390,S2,2.5,30,-0.468,-0.189,-0.55,0.495,5340.0
0,z0_rolling390,S2,2.5,60,-0.569,0.344,0.75,0.494,5143.0
0,z0_rolling390,S2,2.5,120,-0.623,0.564,1.03,0.505,4814.0
0,z0_rolling390,S2,3.0,5,-0.06,0.147,0.76,0.505,3140.0
0,z0_rolling390,S2,3.0,15,-0.383,0.387,1.25,0.491,3074.0
0,z0_rolling390,S2,3.0,30,-0.931,0.735,1.71,0.5,3028.0
0,z0_rolling390,S2,3.0,60,-1.552,0.737,1.31,0.49,2971.0
0,z0_rolling390,S2,3.0,120,-1.187,1.105,1.67,0.496,2852.0
0,z0_rolling390,S3,1.5,5,0.003,-0.417,-5.14,0.504,13710.0
0,z0_rolling390,S3,1.5,15,0.041,-0.753,-5.4,0.51,13295.0
0,z0_rolling390,S3,1.5,30,0.061,-0.951,-4.9,0.511,12870.0
0,z0_rolling390,S3,1.5,60,0.071,-1.085,-4.18,0.511,12142.0
0,z0_rolling390,S3,1.5,120,0.282,-0.635,-1.85,0.515,10822.0
0,z0_rolling390,S3,2.0,5,0.014,-0.222,-1.97,0.508,9365.0
0,z0_rolling390,S3,2.0,15,0.122,-0.215,-1.18,0.509,9161.0
0,z0_rolling390,S3,2.0,30,0.095,-0.339,-1.4,0.515,8959.0
0,z0_rolling390,S3,2.0,60,0.199,0.143,0.43,0.519,8629.0
0,z0_rolling390,S3,2.0,120,0.496,1.122,2.74,0.53,8055.0
0,z0_rolling390,S3,2.5,5,0.058,-0.051,-0.39,0.504,5803.0
0,z0_rolling390,S3,2.5,15,0.08,0.064,0.29,0.506,5713.0
0,z0_rolling390,S3,2.5,30,0.117,0.431,1.42,0.505,5630.0
0,z0_rolling390,S3,2.5,60,0.22,1.224,3.21,0.517,5557.0
0,z0_rolling390,S3,2.5,120,0.105,1.446,3.07,0.517,5391.0
0,z0_rolling390,S3,3.0,5,-0.165,0.035,0.21,0.482,3685.0
0,z0_rolling390,S3,3.0,15,-0.285,0.579,2.12,0.479,3635.0
0,z0_rolling390,S3,3.0,30,-0.501,1.035,2.94,0.485,3608.0
0,z0_rolling390,S3,3.0,60,-0.455,1.715,3.86,0.478,3566.0
0,z0_rolling390,S3,3.0,120,-0.854,1.577,2.86,0.483,3507.0
1,z1_session_anchored,S1,1.5,5,0.052,-0.095,-1.63,0.504,15586.0
1,z1_session_anchored,S1,1.5,15,-0.039,-0.301,-2.51,0.507,15191.0
1,z1_session_anchored,S1,1.5,30,0.091,-0.044,-0.25,0.514,14708.0
1,z1_session_anchored,S1,1.5,60,0.028,0.508,2.06,0.517,13769.0
1,z1_session_anchored,S1,1.5,120,-0.155,1.112,3.27,0.505,11796.0
1,z1_session_anchored,S1,2.0,5,0.01,0.098,1.05,0.511,7130.0
1,z1_session_anchored,S1,2.0,15,-0.001,0.344,2.14,0.504,6936.0
1,z1_session_anchored,S1,2.0,30,-0.011,0.85,3.59,0.512,6738.0
1,z1_session_anchored,S1,2.0,60,-0.169,1.105,3.58,0.513,6296.0
1,z1_session_anchored,S1,2.0,120,-0.398,1.513,3.52,0.503,5438.0
1,z1_session_anchored,S1,2.5,5,-0.058,0.187,1.33,0.514,2434.0
1,z1_session_anchored,S1,2.5,15,-0.1,0.777,3.14,0.505,2366.0
1,z1_session_anchored,S1,2.5,30,-0.404,1.151,3.01,0.497,2288.0
1,z1_session_anchored,S1,2.5,60,-0.124,1.682,3.25,0.518,2104.0
1,z1_session_anchored,S1,2.5,120,-0.606,1.478,2.11,0.523,1797.0
1,z1_session_anchored,S1,3.0,5,0.072,0.628,2.44,0.516,721.0
1,z1_session_anchored,S1,3.0,15,-0.119,0.916,2.0,0.518,697.0
1,z1_session_anchored,S1,3.0,30,-0.337,1.368,1.93,0.533,677.0
1,z1_session_anchored,S1,3.0,60,-0.299,1.542,1.65,0.543,624.0
1,z1_session_anchored,S1,3.0,120,-1.266,1.389,1.13,0.5,518.0
1,z1_session_anchored,S2,1.5,5,0.014,-0.096,-2.19,0.503,18170.0
1,z1_session_anchored,S2,1.5,15,-0.051,-0.198,-2.46,0.496,17635.0
1,z1_session_anchored,S2,1.5,30,-0.062,-0.22,-1.73,0.501,16971.0
